Type,Year,Qtr,Order Type,Proceeding_type,Petitioners_Gender,Children_Involved,Contested,Count
Petitions,2006,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,2
Petitions,2006,3,n/a,Judicial separation,Female,No,,47
Petitions,2006,3,n/a,Judicial separation,Female,Yes,,60
Petitions,2006,3,n/a,Judicial separation,Male,No,,18
Petitions,2006,3,n/a,Judicial separation,Male,Yes,,11
Petitions,2006,3,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2006,3,n/a,Nullity of marriage,Female,No,,44
Petitions,2006,3,n/a,Nullity of marriage,Female,Yes,,13
Petitions,2006,3,n/a,Nullity of marriage,Male,No,,30
Petitions,2006,3,n/a,Nullity of marriage,Male,Yes,,6
Petitions,2006,4,n/a,Dissolution of marriage,Female,No,,9739
Petitions,2006,4,n/a,Dissolution of marriage,Female,Yes,,14488
Petitions,2006,4,n/a,Dissolution of marriage,Male,No,,5786
Petitions,2006,4,n/a,Dissolution of marriage,Male,Yes,,5350
Petitions,2006,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,20
Petitions,2006,4,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2006,4,n/a,Judicial separation,Female,No,,55
Petitions,2006,4,n/a,Judicial separation,Female,Yes,,59
Petitions,2006,4,n/a,Judicial separation,Male,No,,23
Petitions,2006,4,n/a,Judicial separation,Male,Yes,,8
Petitions,2006,4,n/a,Nullity of marriage,Female,No,,34
Petitions,2006,4,n/a,Nullity of marriage,Female,Yes,,9
Petitions,2006,4,n/a,Nullity of marriage,Male,No,,43
Petitions,2006,4,n/a,Nullity of marriage,Male,Yes,,3
Petitions,2007,1,n/a,Dissolution of marriage,Female,No,,10556
Petitions,2007,1,n/a,Dissolution of marriage,Female,Yes,,15400
Petitions,2007,1,n/a,Dissolution of marriage,Male,No,,6287
Petitions,2007,1,n/a,Dissolution of marriage,Male,Yes,,5777
Petitions,2007,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,33
Petitions,2007,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2007,1,n/a,Judicial separation,Female,No,,49
Petitions,2007,1,n/a,Judicial separation,Female,Yes,,58
